idx,chunk_id,doc,page,preview
0,eu_0_0,EU_AI_Act,-1,High-level summary of the AI Act
1,eu_1_0,EU_AI_Act,-1,Updated on 30 May in accordance with the Corrigendum version of the AI Act.
2,eu_2_0,EU_AI_Act,-1,"In this article we provide you with a high-level summary of the AI Act, selecting the parts which are most likely to be relevant to you rega"
3,eu_3_0,EU_AI_Act,-1,"To explore the full text of the AI Act yourself, use our AI Act Explorer. Alternatively, if you want to know which parts of the text are mos"
4,eu_4_0,EU_AI_Act,-1,The AI Act classifies AI according to its risk:
5,eu_5_0,EU_AI_Act,-1,Unacceptable risk is prohibited (e.g. social scoring systems and manipulative AI).
6,eu_6_0,EU_AI_Act,-1,"Most of the text addresses high-risk AI systems, which are regulated."
7,eu_7_0,EU_AI_Act,-1,"A smaller section handles limited risk AI systems, subject to lighter transparency obligations: developers and deployers must ensure that en"
8,eu_8_0,EU_AI_Act,-1,"Minimal risk is unregulated (including the majority of AI applications currently available on the EU single market, such as AI enabled video"
9,eu_9_0,EU_AI_Act,-1,The majority of obligations fall on providers (developers) of high-risk AI systems.
10,eu_10_0,EU_AI_Act,-1,"Those that intend to place on the market or put into service high-risk AI systems in the EU, regardless of whether they are based in the EU "
11,eu_11_0,EU_AI_Act,-1,And also third country providers where the high risk AI system's output is used in the EU.
12,eu_12_0,EU_AI_Act,-1,"Users are natural or legal persons that deploy an AI system in a professional capacity, not affected end-users."
13,eu_13_0,EU_AI_Act,-1,"Users (deployers) of high-risk AI systems have some obligations, though less than providers (developers)."
14,eu_14_0,EU_AI_Act,-1,"This applies to users located in the EU, and third country users where the AI system's output is used in the EU."
15,eu_15_0,EU_AI_Act,-1,General purpose AI (GPAI):
16,eu_16_0,EU_AI_Act,-1,"All GPAI model providers must provide technical documentation, instructions for use, comply with the Copyright Directive, and publish a summ"
17,eu_17_0,EU_AI_Act,-1,"Free and open licence GPAI model providers only need to comply with copyright and publish the training data summary, unless they present a s"
18,eu_18_0,EU_AI_Act,-1,"All providers of GPAI models that present a systemic risk - open or closed - must also conduct model evaluations, adversarial testing, track"
19,eu_19_0,EU_AI_Act,-1,"Prohibited AI systems (Chapter II, Art. 5)"
20,eu_20_0,EU_AI_Act,-1,The following types of AI system are 'Prohibited' according to the AI Act.
21,eu_21_0,EU_AI_Act,-1,"deploying subliminal, manipulative, or deceptive techniques to distort behaviour and impair informed decision-making, causing significant ha"
22,eu_22_0,EU_AI_Act,-1,"exploiting vulnerabilities related to age, disability, or socio-economic circumstances to distort behaviour, causing significant harm."
23,eu_23_0,EU_AI_Act,-1,"biometric categorisation systems inferring sensitive attributes (race, political opinions, trade union membership, religious or philosophica"
24,eu_24_0,EU_AI_Act,-1,"social scoring, i.e., evaluating or classifying individuals or groups based on social behaviour or personal traits, causing detrimental or u"
25,eu_25_0,EU_AI_Act,-1,"assessing the risk of an individual committing criminal offenses solely based on profiling or personality traits, except when used to augmen"
26,eu_26_0,EU_AI_Act,-1,compiling facial recognition databases by untargeted scraping of facial images from the internet or CCTV footage.
27,eu_27_0,EU_AI_Act,-1,"inferring emotions in workplaces or educational institutions, except for medical or safety reasons."
28,eu_28_0,EU_AI_Act,-1,"'real-time' remote biometric identification (RBI) in publicly accessible spaces for law enforcement, except when:"
29,eu_29_0,EU_AI_Act,-1,"searching for missing persons, abduction victims, and people who have been human trafficked or sexually exploited;"
30,eu_30_0,EU_AI_Act,-1,"preventing substantial and imminent threat to life, or foreseeable terrorist attack; or"
31,eu_31_0,EU_AI_Act,-1,"identifying suspects in serious crimes (e.g., murder, rape, armed robbery, narcotic and illegal weapons trafficking, organised crime, and en"
